job_id	written	fraction	resolved
1084131516357246977	2025-07-21 11:03:17.270452+00	0	NULL
1084131516357246977	2025-07-21 11:02:47.264035+00	0	NULL
1084131516357246977	2025-07-21 11:02:17.258582+00	0	NULL
1084131516357246977	2025-07-21 11:01:47.253649+00	0	NULL
1084131516357246977	2025-07-21 11:01:17.249159+00	0	NULL
1084131516357246977	2025-07-21 11:00:47.24707+00	0	NULL
1084131516357246977	2025-07-21 11:00:17.244522+00	0	NULL
1084131516357246977	2025-07-21 10:59:47.241669+00	0	NULL
1084131516357246977	2025-07-21 10:59:17.238663+00	0	NULL
1084131516357246977	2025-07-21 10:58:47.248722+00	0	NULL
1084131516357246977	2025-07-21 10:58:17.247021+00	0	NULL
1084131516357246977	2025-07-21 10:57:47.229476+00	0	NULL
1084131516357246977	2025-07-21 10:57:17.224889+00	0	NULL
1084131516357246977	2025-07-21 10:56:47.223076+00	0	NULL
1084131516357246977	2025-07-21 10:56:17.216651+00	0	NULL
1084131516357246977	2025-07-21 10:55:47.212584+00	0	NULL
1084131516357246977	2025-07-21 10:55:17.209052+00	0	NULL
1084131516357246977	2025-07-21 10:54:47.206099+00	0	NULL
1084131516357246977	2025-07-21 10:54:17.204574+00	0	NULL
1084131516357246977	2025-07-21 10:53:47.201778+00	0	NULL
1084131516357246977	2025-07-21 10:53:17.196303+00	0	NULL
1084131516357246977	2025-07-21 10:52:47.194136+00	0	NULL
1084131516357246977	2025-07-21 10:52:17.189154+00	0	NULL
1084131516357246977	2025-07-21 10:51:47.186769+00	0	NULL
1084131516357246977	2025-07-21 10:51:17.185352+00	0	NULL
1084131516357246977	2025-07-21 10:50:47.183021+00	0	NULL
1084131516357246977	2025-07-21 10:50:17.180396+00	0	NULL
1084131516357246977	2025-07-21 10:49:47.17858+00	0	NULL
1084131516357246977	2025-07-21 10:49:17.177509+00	0	NULL
1084131516357246977	2025-07-21 10:48:47.175413+00	0	NULL
1084131516357246977	2025-07-21 10:48:17.171319+00	0	NULL
1084131516357246977	2025-07-21 10:47:47.16931+00	0	NULL
1084131516357246977	2025-07-21 10:47:17.165219+00	0	NULL
1084131516357246977	2025-07-21 10:46:47.163662+00	0	NULL
1084131516357246977	2025-07-21 10:46:17.162205+00	0	NULL
1084131516357246977	2025-07-21 10:45:47.160434+00	0	NULL
1084131516357246977	2025-07-21 10:45:17.158754+00	0	NULL
1084131516357246977	2025-07-21 10:44:47.157037+00	0	NULL
1084131516357246977	2025-07-21 10:44:17.150199+00	0	NULL
1084131516357246977	2025-07-21 10:43:47.13421+00	0	NULL
1084131516357246977	2025-07-21 10:43:17.132256+00	0	NULL
1084131516357246977	2025-07-21 10:42:47.132644+00	0	NULL
1084131516357246977	2025-07-21 10:42:17.138759+00	0	NULL
1084131516357246977	2025-07-21 10:41:47.124143+00	0	NULL
1084131516357246977	2025-07-21 10:41:17.117558+00	0	NULL
1084131516357246977	2025-07-21 10:40:47.106665+00	0	NULL
1084131516357246977	2025-07-21 10:40:17.097178+00	0	NULL
1084131516357246977	2025-07-21 10:39:47.085779+00	0	NULL
1084131516357246977	2025-07-21 10:39:17.08078+00	0	NULL
1084131516357246977	2025-07-21 10:38:47.07648+00	0	NULL
1084131516357246977	2025-07-21 10:38:17.068374+00	0	NULL
