table_name	aggregated_ts	row_count
system.transaction_statistics	2025-07-02 05:00:00+00	28
system.transaction_statistics	2025-07-01 14:00:00+00	17
system.transaction_statistics	2025-07-01 11:00:00+00	14
system.transaction_statistics	2025-07-01 10:00:00+00	30
system.transaction_statistics	2025-07-01 09:00:00+00	32
system.transaction_statistics	2025-07-01 08:00:00+00	26
system.transaction_statistics	2025-07-01 07:00:00+00	48
system.transaction_statistics	2025-07-01 06:00:00+00	24
system.transaction_statistics	2025-07-01 05:00:00+00	81
system.transaction_statistics	2025-07-01 04:00:00+00	42
system.transaction_statistics	2025-06-30 18:00:00+00	14
system.transaction_statistics	2025-06-30 16:00:00+00	21
system.transaction_statistics	2025-06-30 15:00:00+00	28
system.transaction_statistics	2025-06-30 12:00:00+00	14
